Lines,Lon,VehicleNumber,Time,Lat,Brigade
527,21.0471733,3405,2024-02-16 19:29:53,52.2646705,013
731,20.925885,3406,2024-02-16 21:44:05,52.3923758,479
160,20.996312,3407,2024-02-16 21:44:08,52.2375953,514
509,21.0455768,3408,2024-02-16 21:44:03,52.264945,13
197,20.9759346,3409,2024-02-16 21:44:08,52.2896891,010
112,21.0830523,3410,2024-02-16 21:44:07,52.3045753,7
199,21.0435933,3411,2024-02-16 21:44:06,52.2660849,05
527,21.0540765,3412,2024-02-16 21:44:05,52.2954426,519
511,21.0461199,3413,2024-02-16 21:44:07,52.2651066,1
160,21.0461166,3414,2024-02-16 09:01:42,52.2650716,716
Z26,21.046571,3415,2024-02-16 18:16:58,52.2648383,04
340,21.0465093,3416,2024-02-16 18:53:35,52.2648715,03
723,21.0485248,3417,2024-02-16 18:26:20,52.2646176,01
120,21.0457833,3418,2024-02-16 21:44:03,52.2653942,6
Z26,20.937298,3419,2024-02-16 21:44:06,52.2255515,1
112,21.0218116,3420,2024-02-16 21:44:06,52.2923033,5
340,21.0465895,3421,2024-02-16 19:00:29,52.2648533,04
738,21.1961883,3422,2024-02-16 21:44:04,52.4036618,4
190,21.0483628,3423,2024-02-16 15:06:14,52.2642466,1
705,21.0448933,3424,2024-02-16 21:44:03,52.2622748,62
414,21.0472928,3425,2024-02-16 21:44:06,52.2633233,06
738,21.1959588,3426,2024-02-16 21:44:09,52.4035101,3
140,21.1111308,3427,2024-02-16 21:44:06,52.3608976,2
731,20.946242,3428,2024-02-16 21:44:07,52.3502103,499
102,21.0480508,3429,2024-02-16 21:32:45,52.2646665,547
190,21.058684,3430,2024-02-16 21:44:05,52.2666933,1
527,21.0568523,3431,2024-02-16 21:44:04,52.3237251,515
509,21.1024645,3432,2024-02-16 21:44:07,52.2219116,8
511,20.9534735,3433,2024-02-16 21:44:08,52.3416658,3
127,20.898754,3434,2024-02-16 21:44:05,52.208542,8
140,21.0762925,3435,2024-02-16 21:44:07,52.2879903,3
705,21.1465218,3436,2024-02-16 21:44:05,52.4935396,65
162,21.0435411,3437,2024-02-16 21:14:21,52.2653768,3
245,21.0474743,3438,2024-02-16 21:19:07,52.2632406,2
120,21.0507943,3439,2024-02-16 21:44:03,52.2525278,4
517,21.0484,3440,2024-02-14 19:36:21,52.264551,013
190,21.0472938,3441,2024-02-16 21:09:15,52.2648143,12
160,21.0064638,3442,2024-02-16 21:44:05,52.2461246,517
245,21.0477145,3443,2024-02-16 19:47:07,52.2646335,05
509,20.9783623,3444,2024-02-16 21:44:05,52.31189,1
503,21.0460345,3445,2024-02-16 19:14:53,52.2647886,014
500,21.0459166,3446,2024-02-16 11:34:23,52.264795,6
145,21.0472983,3447,2024-02-16 20:39:49,52.26485,10
160,21.0451933,3448,2024-02-16 21:44:07,52.2650336,516
509,20.982317,3449,2024-02-16 21:44:06,52.3090616,4
518,21.0485728,3450,2024-02-16 19:10:43,52.2647286,012
145,21.0485103,3451,2024-02-16 07:00:57,52.2644265,10
527,21.0473625,3452,2024-02-16 19:41:54,52.264593,010
518,21.0468458,3453,2024-02-16 18:36:50,52.2648033,011
738,21.1104013,3454,2024-02-16 21:44:06,52.3297096,2
509,21.0470853,3455,2024-02-16 13:29:55,52.2648728,020
520,21.1550666,3456,2024-02-16 21:44:07,52.239756,2
245,21.0430491,3457,2024-02-16 21:44:05,52.2924343,1
162,21.0275321,3458,2024-02-16 21:44:03,52.2595699,6
520,21.0458215,3459,2024-02-16 19:42:09,52.2651328,5
160,21.0474776,3460,2024-02-16 21:28:49,52.264749,716
723,20.9219475,3461,2024-02-16 21:44:06,52.3989701,476
145,21.1177581,3462,2024-02-16 21:44:03,52.2732876,2
509,21.0456625,3463,2024-02-16 10:37:55,52.2652288,5
705,20.9863638,3464,2024-02-16 21:44:03,52.2831366,07
132,21.0439298,3465,2024-02-16 20:16:06,52.265568,07
132,20.9666681,3466,2024-02-16 21:44:06,52.2709166,5
116,21.0186068,3467,2024-02-16 21:44:06,52.235193,10
138,21.052092,3468,2024-02-16 21:44:05,52.237358,8
138,21.0448056,3469,2024-02-16 20:28:08,52.2659115,3
L-5,20.8977066,35131,2024-02-16 21:44:05,52.0564868,2
L-2,20.9592351,35132,2024-02-16 21:44:04,52.0292348,683
L12,21.0296466,35133,2024-02-16 21:44:09,52.075269,684
L-5,21.0353838,35134,2024-02-16 20:28:38,52.0834736,1
L25,21.2175133,35136,2024-02-16 21:42:35,51.9816303,1
L-5,21.0346726,35137,2024-02-16 20:14:55,52.0832015,2
L12,21.0351743,35138,2024-02-16 20:44:25,52.0832736,782
L39,21.0318981,35139,2024-02-16 21:42:39,52.0658491,3
L-5,21.0273335,35140,2024-02-16 21:42:46,52.0738621,1
L-2,21.034132,35141,2024-02-12 14:14:11,51.9594601,684
L13,21.0350395,35155,2024-02-16 18:38:15,52.0835486,03
L13,21.0334143,35159,2024-02-16 20:43:02,52.0831273,04
178,20.960201,4200,2024-02-16 21:44:08,52.21666,6
